Cust id,First Name,Last Name,Agent,Email,Home Phone,Business Phone,Birth date,Address,City,Postal Code,Province,Country
102,Fred,Crocitto,DR, ,4032796411,4032449653,1/22/1970,"101-09 120th St., NE",Calgary,T2J 6P3,AB,Canada
103,J.,Landry,JL, ,4032794511,4032844477,,"7435 Boulevard East #4, NE",Calgary,T2J 6B6,AB,Canada
104,Laetia,Enison,JM, ,4032791223,4032557865,,"144-61 87th Ave, NE",Calgary,T2J 6B6,AB,Canada
105,Angel,Moskowitz,JL,amoskowitz@home.com,4032794228,4036409874,,"320 John St., NE",Calgary,T2J 7E3,AB,Canada
106,Judith,Olvsade,DR,jolvsade@aol.com,4032795652,4036861598,6/22/1955,"29 Elmwood Ave.,",Calgary,T2Z 3M9,AB,Canada
107,Catherine,Mierzwa,JL,cmierzwa@msn.com,4032796878,4036404563,,"22-70 41st St.,NW",Calgary,T2Z 2Z9,AB,Canada
108,Judy,Sethi,BD,judysehti@home.com,4032795111,4036204789,,"63 Stratton Hall, SW",Calgary,T1Y 6N4,AB,Canada
109,Larry,Walter,BP,lwalter@aol.com,4032793254,4032845588,,"38 Bay 26th ST. #2A, NE",Calgary,T2J 6B6,AB,Canada
110,Maria,Martin,BD,mmartin@nucleos.com,4032693678,4035907411,,"1674 Woodbine St., NE",Calgary,T2J 6B6,AB,Canada
111,Peggy,Noviello,JL,pnoviello@istar.com,4032691999,4036861547,,"155 Union Ave #211, NE",Calgary,T2J 7E3,AB,Canada
112,Thomas,Thomas,JM,tthomas@aol.com,4032696541,4032951596,,"501 W ElmSt.,SE",Calgary,T2Z 3M9,AB,Canada
113,Anil,Kulina,JL, ,4032691854,4032843214,1/25/1999,"43-44 Kissena Blvd. #1,NW",Calgary,T2Z 2Z9,AB,Canada
114,Winsome,Laporte,BD, ,4032691125,4032844565,11/25/1945,"268 E.3rd St, SW",Calgary,T1Y 6N4,AB,Canada
117,Nancy,Kuehn,BD, ,4032693965,4032843211,,"44-255 9th St., SW",Calgary,T1Y 6N5,AB,Canada
118,Hiedi,Lopez,JM,hlopez@aol.com,4032699856,4035901587,2/25/1969,"168 Rowayton Ave, NW",Calgary,T3A 4ZG,AB,Canada
119,Mardig,Abdou,JD, ,4032691429,4032251952,,"160-04 32nd Ave., SW",Calgary,T2P 2G7,AB,Canada
120,Ralph,Alexander,DR, ,4032691634,4032256547,,"2054 73rd St, SW",Calgary,T2P 2G7,AB,Canada
121,Sean,Pineda,JM,spineda@hotmail.com,4032691954,4036864444,5/27/1971,"3 Salem Rd., NW",Calgary,T2K 3E3,AB,Canada
122,Julita,Lippen,JD,jlippen@cadvision.co,4032551956,4035901478,,"51-76 VanKleeck St., NW",Calgary,T2K 6C5,AB,Canada
123,Pierre,Radicola,JL,pradicola@home.com,4032551677,4036867536,,"322 Atkins Ave., SE",Calgary,T3G 2C6,AB,Canada
124,Daniel,Wicelinski,JM,dwicelinski@home.com,4032801987,4032847859,4/27/1969,"27 Brookdale Gdns., NE",Calgary,T2V 2K9,AB,Canada
127,Gary,Aung,JM, ,4032807858,4037501587,1/17/1959,"135-32 Louis Blvd, NE",Calgary,T2V 2K5,AB,Canada
128,Jeff,Runyan,BD,jrunyan@aol.com,4032809635,4036201122,,"109-15 Queens Blvd., NE",Calgary,T2V 2K6,AB,Canada
129,Omaira,Grant,DR, ,4032435683,4032703589,1/7/1955,"1065 Vermont St. 7F., NE",Calgary,T2V 2K7,AB,Canada
130,Lula,Oates,JM,loates@aol.com,4032439653,4036861587,,"11A Emory St., NE",Calgary,T3E 3Z4,AB,Canada
133,James,Reed,JM,jreed@aol.com,4032432358,4037201155,,"109-621 96th St, NE",Calgary,T3E 4A1,AB,Canada
134,Angela,Torres,JM,atorres@telusplanet.,4032439635,4032952547,,"50 92nd St #4L, NE",Calgary,T2V 2J7,AB,Canada
135,Michelle,Masser,DR,mmasser@aol.com,4032441586,4035908522,,"379 Ovington Ave, NE",Calgary,T2J 2S9,AB,Canada
136,Hazel,Lasseter,JL, ,4032449635,4032845412,11/15/1961,"9720 57th Ave #10G, NE",Calgary,T3E 5G1,AB,Canada
137,James,Miller,JM,jmiller@aol.com,4032441464,4036405478,3/19/1962,"9830 57th Ave #3E, NE",Calgary,T3E 5C6,AB,Canada
138,John,Smith,BD,johnSmith@hotmail.co,4032449653,4032837896,,"45 Plaza St. West #2D, NE",Calgary,T3E 5C7,AB,Canada
139,Angelo,Garshman,JD, ,4032259966,4032696541,8/2/1948,"82 Western Ave., NE",Calgary,T3E 5C8,AB,Canada
140,Derrick,Baltazar,BP, ,4032255231,4037502547,,"9111 Church Ave. #3N, NE",Calgary,T3E 5C9,AB,Canada
141,Robert,Boyd,JM, ,4032255647,4037509512,,"96-04 57th Ave #12A, NE",Calgary,T3E 5C5,AB,Canada
142,Monica,Waldman,JM,mwaldman@aol.com,4032255629,4032844566,,"257 Depot Rd., NE",Calgary,T2J 6P3,AB,Canada
